Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
CMN,462,0,62,17,8,8,5,4,1,7,1,0,0,6,0
CMN,496,26,305,143,110,151,60,40,55,18,11,13,3,18,5
CPSC,112,3,21,12,14,19,16,19,17,17,8,4,3,7,0
CPSC,113,50,29,5,2,6,1,0,1,1,1,0,1,2,0
CPSC,270,15,48,35,13,31,22,23,26,9,2,3,2,1,3
CPSC,440,14,224,3,19,7,1,3,1,0,0,0,0,3,1
CPSC,480,0,37,0,4,4,0,2,3,0,0,3,0,6,0
CPSC,499,3,18,5,1,1,1,1,1,1,0,2,0,2,0
CS,100,0,753,16,8,4,4,1,1,0,1,3,0,10,2
CS,101,946,983,725,657,639,496,352,316,206,151,109,71,164,32
CS,105,1091,2277,1422,1197,1371,713,523,539,319,148,161,59,186,53
CS,125,1169,2023,873,605,620,326,366,366,197,30,105,33,185,54
CS,126,129,419,241,149,73,41,17,14,14,4,1,2,39,3
CS,173,806,2016,1503,1385,1382,879,702,650,396,300,258,150,256,61
CS,196,49,129,48,26,15,8,7,4,7,0,6,0,5,6
CS,199,14,59,1,2,3,1,0,2,0,0,0,0,2,0
CS,210,109,401,119,80,79,15,12,30,3,1,6,0,4,1
CS,225,618,5113,1152,775,1256,506,449,716,211,92,491,79,546,89
CS,232,33,51,27,27,74,13,11,11,3,2,1,1,1,1
CS,233,765,1866,133,107,696,60,58,388,33,12,163,20,160,21
CS,241,324,342,194,183,166,135,161,101,76,85,69,50,120,15
CS,242,40,103,128,64,24,21,17,14,7,4,4,2,17,2
CS,296,32,140,24,18,30,5,2,10,3,1,4,0,10,2
CS,357,399,1838,535,434,486,256,218,309,137,103,91,60,110,19
CS,361,69,37,31,35,10,14,5,10,6,1,3,0,7,4
CS,373,8,16,21,21,31,21,15,6,6,5,1,0,0,0
CS,374,128,283,243,243,203,199,154,154,96,85,33,32,36,8
CS,398,32,74,25,24,112,14,14,50,3,0,20,0,13,1
CS,410,758,259,100,34,17,8,0,7,0,0,2,0,12,5
CS,411,384,1108,436,238,150,114,56,44,31,9,15,10,23,6
CS,412,290,447,288,216,221,147,79,63,39,6,32,2,57,8
CS,416,556,234,30,45,30,5,9,2,0,3,2,0,11,14
CS,418,55,67,41,40,23,11,5,7,7,1,13,0,6,1
CS,421,863,1415,221,215,263,84,99,129,27,54,82,9,69,11
CS,423,23,28,10,4,2,1,0,0,0,0,1,0,0,0
CS,425,141,322,659,489,266,173,36,33,8,5,10,6,40,10
CS,427,112,129,54,29,12,10,0,11,0,0,7,0,3,4
CS,428,5,17,12,5,5,4,1,0,0,0,0,0,1,0
CS,433,1,17,30,30,27,8,6,2,2,2,1,0,0,2
CS,435,16,187,36,19,15,8,0,9,1,2,2,2,17,8
CS,437,188,159,28,11,12,15,8,8,7,3,4,1,15,9
CS,440,75,260,62,63,198,27,25,54,7,6,20,7,19,3
CS,441,42,1225,146,55,36,23,18,12,12,7,2,7,37,15
CS,445,120,135,77,23,20,14,9,3,8,2,4,4,16,5
CS,446,37,162,116,91,60,36,7,11,1,2,6,0,5,2
CS,447,93,132,90,32,19,6,4,1,0,0,2,0,16,4
CS,450,8,3,2,3,2,0,1,1,0,0,0,0,2,1
CS,460,1,40,5,9,1,2,0,4,0,0,0,0,3,1
CS,461,4,46,15,22,108,2,10,47,1,0,6,0,0,2
