Subject,Number,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
ACCY,304,30,11,25,37,52,23,7,10,0,0,0,0,0,0,"Bol, Jasmijn C"
ACCY,304,11,169,90,132,99,33,26,13,16,5,7,4,2,1,"Koo, Seung Hyun"
ACCY,304,30,43,84,43,53,51,2,9,4,0,2,1,2,0,"Fan, Qintao"
ACCY,304,6,101,35,36,41,6,6,4,3,0,1,1,0,0,"Kink, Dawn M"
ACCY,304,26,95,74,73,72,24,10,13,4,3,2,1,6,0,"Hayne, Christie"
ACCY,312,3,107,4,23,74,1,6,20,1,0,2,0,5,2,"Holder, Charles B"
ACCY,312,36,35,39,43,52,30,6,6,0,0,0,0,0,1,"Vuong, Anh"
ACCY,312,18,100,102,85,101,45,25,15,4,2,5,0,0,4,"Bauer, Andrew M"
ACCY,312,52,87,166,157,95,63,29,27,11,12,5,8,3,3,"Donohoe, Michael P"
ACCY,312,20,13,11,9,17,5,6,3,0,1,2,0,1,0,"Alt, Amanda J"
ACCY,312,0,20,0,0,21,0,0,8,0,0,0,0,0,0,"Chatterton, Angel"
ACCY,312,75,102,78,72,62,61,20,10,7,0,2,0,7,3,"Penn, Michael W"
ACCY,312,4,43,10,11,57,1,1,8,0,0,3,0,1,2,"Henderson, Belinda C"
ACCY,312,1,70,55,73,49,20,22,11,1,3,1,0,1,0,"Hutchens, Michelle L"
ACCY,312,2,10,6,8,4,0,2,2,1,0,0,0,0,0,"Snyder, R William"
ACCY,312,7,77,89,148,139,73,27,2,2,0,0,0,0,3,"Varadharajan, Anupama"
